timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667623344824,524,Request1-1,200,OK,Thread Group 1-2,text,true,,17543,117,10,10,https://www.google.com/,486,0,0
1667623344612,843,Request1,200,OK,Thread Group 1-1,text,true,,18176,230,10,10,https://www.google.com/,328,0,0
1667623344612,328,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,328,0,0
1667623344940,515,Request1-1,200,OK,Thread Group 1-1,text,true,,17473,117,10,10,https://www.google.com/,504,0,0
1667623344413,1050,Request1,200,OK,Thread Group 1-8,text,true,,18176,230,10,10,https://www.google.com/,592,0,0
1667623344413,592,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,10,10,https://google.com/,592,0,0
1667623345005,458,Request1-1,200,OK,Thread Group 1-8,text,true,,17473,117,10,10,https://www.google.com/,446,0,0
1667623344456,1207,Request1,200,OK,Thread Group 1-5,text,true,,18118,230,10,10,https://www.google.com/,705,0,0
1667623344456,705,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,113,10,10,https://google.com/,705,0,0
1667623345161,502,Request1-1,200,OK,Thread Group 1-5,text,true,,17415,117,10,10,https://www.google.com/,499,0,0
1667623344480,1455,Request1,200,OK,Thread Group 1-9,text,true,,18133,230,10,10,https://www.google.com/,660,0,0
1667623344480,660,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,113,10,10,https://google.com/,660,0,0
1667623345141,794,Request1-1,200,OK,Thread Group 1-9,text,true,,17430,117,10,10,https://www.google.com/,794,0,0
1667623345348,842,Request1,200,OK,Thread Group 1-2,text,true,,18181,230,10,10,https://www.google.com/,328,0,0
1667623345348,328,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,328,0,0
1667623345676,514,Request1-1,200,OK,Thread Group 1-2,text,true,,17478,117,10,10,https://www.google.com/,503,0,0
1667623345455,847,Request1,200,OK,Thread Group 1-1,text,true,,18191,230,10,10,https://www.google.com/,329,0,0
1667623345455,329,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,329,0,0
1667623345785,517,Request1-1,200,OK,Thread Group 1-1,text,true,,17488,117,10,10,https://www.google.com/,497,0,0
1667623345128,1525,Request1,200,OK,Thread Group 1-3,text,true,,18223,230,10,10,https://www.google.com/,1047,0,0
